protocolSection.identificationModule.briefTitle,protocolSection.statusModule.statusVerifiedDate,protocolSection.statusModule.overallStatus,protocolSection.statusModule.completionDateStruct.date,protocolSection.sponsorCollaboratorsModule.responsibleParty.type,protocolSection.sponsorCollaboratorsModule.responsibleParty.investigatorFullName,protocolSection.sponsorCollaboratorsModule.leadSponsor.name,protocolSection.conditionsModule.conditions,protocolSection.designModule.studyType,protocolSection.designModule.enrollmentInfo.count,protocolSection.designModule.enrollmentInfo.type,protocolSection.armsInterventionsModule.interventions,protocolSection.conditionsModule.keywords,protocolSection.eligibilityModule.studyPopulation
Psychological Therapy for Patients With ALS,2021-04,COMPLETED,2020-11-15,PRINCIPAL_INVESTIGATOR,Anja Mehnert,University of Leipzig,"['Amyotrophic Lateral Sclerosis', 'Psychological Stress']",INTERVENTIONAL,5.0,ACTUAL,"[{'name': 'Adaptation of ""CALM""', 'description': 'The therapy is built up by 3-8 sessions (duration about 45-60 min) over a period of 6 months. All dimensions are explored with every patient, but the order and extent of each dimension are adapted to the individual needs of the patient.\n\nThe sessions address the 4 dimensions of the original program designed for palliative cancer patients:\n\n1. Symptom management and communication with healthcare providers\n2. Changes in self and relations with each others\n3. Spirituality, sense of meaning, and purpose\n4. Thinking of the future, hope, and mortality\n\nAs an adaptation, the investigators will especially focus on two other aspects which take into account the specific symptoms and challenges in patients with ALS: (i) communication skills and (ii) emotional expression and control.'}]",,
"Study of Social Behavior and Emotion in Frontotemporal Dementia, Alzheimer's Disease and Controls",2011-10,UNKNOWN,2014-07,PRINCIPAL_INVESTIGATOR,Mario F. Mendez,"University of California, Los Angeles","['Frontotemporal Dementia', 'Frontotemporal Degeneration', ""Alzheimer's Disease"", 'Social Behavior']",OBSERVATIONAL,99.0,ESTIMATED,,"['Frontotemporal dementia', ""Alzheimer's disease"", 'Young-Onset', 'Frontotemporal degeneration', 'control', 'social', 'behavior', 'observation', 'emotion', 'morality', 'dementia', 'brain', 'relationships', 'caregiver', 'MRI', 'neurology']",Patients evaluated by Dr. Mario Mendez at the UCLA Frontotemporal Dementia Clinic
Investigation on the Cortical Communication System,2024-01,RECRUITING,2027-10,PRINCIPAL_INVESTIGATOR,"Erik Aarnoutse, PhD",UMC Utrecht,"['Locked-in Syndrome', 'Neuromuscular Diseases', 'Brainstem Stroke', 'Traumatic Brain Injury']",INTERVENTIONAL,2.0,ESTIMATED,"[{'name': 'ECoG (electrocorticography) sensing', 'description': 'Implant electrodes and pedestal connector and use, through amplifier and decoding, for control of BCI'}]","['Locked-in', 'Amyotrophic lateral sclerosis', 'Neurodegenerative disease']",
Customized Masks in Non-Invasive Mechanical Ventilation,2024-01,RECRUITING,2024-05,SPONSOR,,Hospital Universitario 12 de Octubre,"['COPD, Severe Early-Onset', 'Ventilatory Failure', 'Als', 'Non Invasive Ventilation']",INTERVENTIONAL,10.0,ESTIMATED,"[{'name': '3d printed mask', 'description': ""* Concurrent, prospective, non-randomized inclusion, cross-over design. A minimum of 6 patients will be included for each group, COPD, and ALS.\n* T0: Patient enrollment (informed consent signing), retrospective review of the respirator log (1 month prior), variable extraction (extracting EDF files from the respirator log and data obtained from ResScan).\n* During the first week, a 3D scan of the patient's face will be conducted, and the personalized 3D-printed mask (M3D) will be manufactured.\n* Once ready, the mask will be fitted, and the 1-month evaluation period will begin (T1: after 1 month of M3D use). The respirator card will be downloaded in the same manner as at T0, and a respiratory polygraphy (RP) will be scheduled.\n* T2: At the end of the study month, the patient will resume using a similar MC, which is new and well-fitted. After one month of MC use, the respirator log will be reviewed, and a new RP will be conducted.""}]","['non invasive ventilation', '3d printed mask']",
Efficacy of Cannabinoids in Amyotrophic Lateral Sclerosis or Motor Neurone Disease,2023-03,ACTIVE_NOT_RECRUITING,2024-01-30,SPONSOR,,Gold Coast Hospital and Health Service,"['Amyotrophic Lateral Sclerosis', 'Motor Neuron Disease']",INTERVENTIONAL,17.0,ACTUAL,"[{'name': 'MediCabilis CBD Oil', 'description': '50 mg of CBD: \\<2mg of THC in one ml. The cannabis oil consists of CBD extract in MCT oil.'}, {'name': 'Placebo Oil', 'description': 'Placebo will contain only hemp seed oil.'}]",,
Safety and Biomarker Study of EPI-589 in Participants With Amyotrophic Lateral Sclerosis (ALS),2020-09,COMPLETED,2018-02-23,SPONSOR,,PTC Therapeutics,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,19.0,ACTUAL,"[{'name': 'EPI-589', 'description': 'An immediate release film-coated table at a 250 mg dosage strength will be administered per dose and schedule specified in arm.'}]",,
Determination and Comparison of Short-term Effectiveness of Three Methods Used for Recognition of Arrhythmias in People With Different Degrees of Medical Training (Advanced Life Support Workshop Participants-ALS): Randomized Controlled Educational Experiment.,2021-05,COMPLETED,2017-06,SPONSOR,,Universidad Nacional de Colombia,['Arrhythmias'],INTERVENTIONAL,76.0,ACTUAL,"[{'name': 'Arrhythmia diagnosis with the 10 steps method'}, {'name': 'Arrhythmia diagnosis with the 6 steps method'}, {'name': 'Arrhythmia diagnosis with the 4 steps method'}]",,
"N-Acetyl-L-Leucine for Niemann-Pick Disease, Type C (NPC)",2023-11,COMPLETED,2022-11-07,SPONSOR,,IntraBio Inc,"['Niemann-Pick Disease, Type C']",INTERVENTIONAL,33.0,ACTUAL,"[{'name': 'IB1001', 'description': 'IB1001 (N-Acetyl-L-Leucine) is a modified amino-acid ester that is orally administered.'}]",,
Effects of Tolcapone on Frontotemporal Dementia,2019-08,COMPLETED,2014-10,PRINCIPAL_INVESTIGATOR,"Edward D Huey, MD",Columbia University,['Frontotemporal Lobar Degeneration'],INTERVENTIONAL,28.0,ACTUAL,"[{'name': 'Tolcapone', 'description': '200 mg by mouth three times a day'}, {'name': 'Placebo', 'description': '200 mg by mouth three times a day'}]","['Dementia Treatment', 'Frontotemporal Dementia', 'Dopamine', 'Frontotemporal Lobar Degeneration']",
Study of ALS Reversals 4: LifeTime Exposures,2020-07,COMPLETED,2020-06-01,SPONSOR,,Duke University,"['Amyotrophic Lateral Sclerosis', 'Progressive Muscular Atrophy', 'Motor Neuron Disease']",OBSERVATIONAL,25.0,ACTUAL,,"['amyotrophic lateral sclerosis', 'progressive muscular atrophy', 'motor neuron disease', 'ALS Reversal', 'PMA Reversal']",Participants will be recruited from the cohort of subjects (38 to-date) who participated in the Documentation of Known ALS Reversals (Duke IRB Pro00076395) protocol and were subsequently thought to have an ALS Reversal.
Amyotrophic Lateral Sclerosis: a New Paradigm,2017-03,COMPLETED,2018-06,SPONSOR,,"Conde, Bebiana, M.D.",['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,30.0,ACTUAL,"[{'name': 'ALS patients genetic characterization', 'description': 'Genetic findings in ALS patients'}, {'name': 'ALS patients epidemiological caracterization', 'description': 'Epidemiological characterization in ALS patients'}]","['Amyotrophic Lateral Sclerosis', 'Bulbar disfunction', 'Rik factors ALS']",Patients with Amyotrophic Lateral Sclerosis sent to a medical consultation
Transmembrane Electromyography (TM-EMG) for the Assessment of Neuromuscular Function in the Oropharynx,2022-06,COMPLETED,2021-03-26,SPONSOR,,Powell Mansfield Inc.,"['Obstructive Sleep Apnea', 'Amyotrophic Lateral Sclerosis', 'Muscular Dystrophies', 'Healthy']",INTERVENTIONAL,50.0,ACTUAL,"[{'name': 'Transmembrane EMG Oropharynx Probe', 'description': 'Examination of the electromyographic signal from oropharyngeal muscles obtained using an investigational transmembrane sensor attached to a rigid probe and an FDA-approved very fine concentric needle electrode (Ambu Neuroline 25 mm x 30G).'}]",,
Cell Therapy for Motor Neuron Disease/Amyotrophic Lateral Sclerosis,2018-10,WITHDRAWN,2016-09,SPONSOR,,Neurogen Brain and Spine Institute,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,0.0,ACTUAL,"[{'name': 'Stem Cell', 'description': 'intrathecal autologous bone marrow mononuclear cell transplantation'}]","['Motor Neuron Disease', 'Amyotrophic Lateral Sclerosis', 'Autologous Mononuclear Cell therapy', 'Stem cells']",
"The Reliability and Validity of Turkish Version of ''The Dyspnea-ALS-Scale (DALS-15)""",2021-04,COMPLETED,2021-04-08,PRINCIPAL_INVESTIGATOR,Esma Nur KOLBAŞI,Istanbul Medeniyet University,"['Amyotrophic Lateral Sclerosis', 'Dyspnea']",OBSERVATIONAL,52.0,ACTUAL,,,Patients who are diagnosed with Amyothrophic Lateral Sclerosis
